,questions,answers
1615,Какую религию исповедуют Японцы?,"Синтоизм, синто"
1616,Кто архитектор Эрмитажа в Санкт-Петербурге?,Бартоломео Растрелли
1617,Кто сочинил симфонию Классическую?,Сергей Сергеевич Прокофьев
1618,Кто сочинил симфонию Прощальную?,Йозеф Гайдн
1619,Кто является автором балета Золушка?,Сергей Прокофьев
1620,На каких языках говорят в Швейцарии?,"немецкий, французский, итальянский, ретороманский"
1621,На каком языке говорят в Вене?,немецкий
1622,В какой столице дворец Огузхан?,Ашхабаде
1623,В какой столице убили Грибоедова?,Тегеран
1624,В какой стране зародился футбол?,Англия
1625,В каком направлении пел Виктор Цой?,"рок-музыка, новая волна, панк-рок, постпанк"
1626,В каком направлении пел Синатра?,"свинг, джаз, традиционная поп-музыка, биг-бэнд, вокальная музыка"
1627,В каком направлении писал Лермонтов?,"романтизм, реализм"
1628,В каком направлении творил Сальвадор Дали?,"сюрреализм, дадаизм, кубизм"
1629,В каком стиле строил Растрелли?,барокко
1630,Где гробница Наполеона?,"Дом инвалидов, Париж, Франция"
1631,Где погребен Петр 1?,‎Петропавловский собор
1632,Из какой династии был Петр 1?,Романовы
1633,Из чего сделан пластилин?,"высокомолекулярный полиэтилен (ВМПЭ), поливинилхлорид (ПВХ), каучуки и другие высокотехнологичные материалы"
1634,К какому жанру относится произведение И.С. Тургенева Отцы и дети?,Роман
1635,Какая группа исполняет песню Отель Калифорния?,Eagles
1636,Какая причина смерти Владимира Этуша?,Сердечная недостаточность
1637,Какая причина смерти Сергея Захарова?,Сердечная недостаточность
1638,Какое воинское звание было у Сталина?,Генералиссимус Советского Союза
1639,Какой голос у Градского?,тенор-альтино и лирический тенор
1640,Какой голос у Лепса?,баритон
1641,Какой город является столицей Израиля?,Иерусалим
1642,Какой город является столицей Казахстана?,Нур-Султан
1643,Какой город является столицей Канады?,Оттава
1644,Какой город является столицей штата Луизиана?,Батон-Руж
1645,Какой певческий голос у Дмитрия Хворостовского?,драматический баритон
1646,Какой титул носила Екатерина 2?,"Божиею поспешествующую милостию мы, Екатерина Вторая, императрица и самодержица Всероссийская, Московская, Киевская, Владимирская, Новгородская, царица Казанская, царица Астраханская, царица Сибирская, царица Херсониса-Таврическаго, государыня Псковская и великая княгиня Смоленская, княгиня Эстляндская, Лифляндская, Корельская, Тверская, Югорская, Пермская, Вятская, Болгарская и инных, государыня и великая княгиня Нова-города Низовския земли, Черниговская, Рязанская, Полоцкая, Ростовская, Ярославская, Белоозерская, Удорская, Обдорская, Кондийская, Витепская, Мстиславская и всея Северныя страны повелительница и государыня Иверския земли, Карталинских и Грузинских царей и Кабардинския земли, Черкаских и Горских князей, и иных наследная государыня и обладательница"
1647,Кому принадлежит Volvo?,холдингу Geely Automobile
1648,Кто архитектор Исаакиевского собора?,Огюст Монферран
1649,Кто архитектор Казанского собора?,Андрей Никифорович Воронихин
1650,Кто была мать Ивана Грозного?,Елена Васильевна Глинская
1651,Кто изготовил первый печатный станок?,Иоганн Гутенберг
1652,Кто нарисовал Джоконду?,Леонардо да Винчи
1653,Кто нарисовал картину Три богатыря?,Виктор Васнецов
1654,Кто оператор фильма Я шагаю по Москве?,Вадим Иванович Юсов
1655,Кто основал компанию Тойота?,Киитиро Тоёда
1656,Кто отец Наруто?,Минато Намикадзэ
1657,Кто снял фильм Курск?,Томас Винтерберг
1658,Кто является автором картины Последний день Помпеи?,Карл Брюллов
1659,Куда впадает река Великая?,в Псковско-Чудское озеро
1660,На каких языках говорят в Тайланде?,Тайский язык
1661,На каких языках говорят в Индии?,"хинди, английский"
1662,На каких языках говорят в Канаде?,"английский, французский"
1663,На каких языках говорят во Франции?,"французский, окситано-романские языки, немецкий и его диалекты, языки «ойль» (кроме французского), арабский"
1664,На какой реке стоит Берлин?,Шпрее
1665,На каком языке говорят в Австрии?,Немецкий язык
1666,На каком языке говорят в Бразилии?,Португальский язык
1667,На каком языке говорят в Египте?,Арабский литературный язык
1668,На каком языке говорят в Черногории?,Черногорский язык
1669,Какой оригинальный язык у Ведьмака?,Польский
1670,Кто является автором стихотворения Зима недаром злится?,Ф. И. Тютчев
1671,В каких битвах участвовал Суворов?,"Суворов отличился уже во время Семилетней войны, в особенности у Кунерсдорфа. Он участвовал в первой русско-турецкой войне и в подавлении восстания Пугачева"
1672,В какой стране был создан баскетбол?,Соединенные Штаты Америки
1673,В каком направлении писал Александр Блок?,Символизм
1674,В каком направлении творил Ван Гог?,постимпрессионизм
1675,Кто нарисовал картину Девочка с персиками?,Валентин Александрович Серов
1676,Кто автор картины Мона Лиза?,Леонардо да Винчи
1677,Кто нарисовал черный квадрат?,Казимир Северинович Малевич
1678,Кто разработал клеточную теорию?,Маттиас Шлейден и Теодор Шванн
1679,В каких единицах измеряется масса?,килограмм
1680,Какое количество эпизодов в Доктор Хаус?,177
1681,Какое количество эпизодов в Игре престолов?,73
1682,Какое число серий в сериале Мосгаз?,8
1683,В каком году была создана Международная федерация любительской борьбы?,1912
1684,В каком году изобретён пулемёт Максим?,1883
1685,В каком году обнаружили ВИЧ?,1983
1686,Какая площадь России?,17 100 000 км²
1687,Какое количество серий в сериале След?,2190
1688,Какое число серий в 8 сезоне Игры престолов?,6
1689,Какое число серий в Гравити Фолз?,41
1690,Какое число серий в Клуб Винкс?,208
1691,Какой протяженности крымский мост?,19 км
1692,Когда впервые напечатали Собачье сердце?,1987
1693,Когда распущен СЭВ?,1991
1694,Количество сезонов Доктор Кто?,26
1695,Количество сезонов Доктор Хаус?,8
1696,Количество сезонов Сверхъестественное?,15
1697,Количество сезонов Ходячие мертвецы?,10
1698,Сколько сезонов в Губке Бобе?,12
1699,Сколько сезонов в Менталисте?,7
1700,Сколько сезонов в сериале Мосгаз?,1
1701,Сколько сезонов в сериале Мост Дания Швеция?,4
1702,Сколько сезонов в Чернобыле?,1
1703,Сколько серий в Знахаре?,16
1704,Когда основан Нижегородский кремль?,1508
1705,В каком году был основан Рим?,21 апреля 753 г. до Рождества Христова
1706,В каком году изобретен транзистор?,23 декабря 1947 года
1707,В каком году обнаружили реликтовое излучение?,1948
1708,В каком году родился Путин?,1952
1709,В каком месяце произошло Бородинское сражение?,"26 августа,7 сентября 1812 года"
1710,Когда возникло Древнерусское государство?,860
1711,Какая высота Эвереста?,8 848 м
1712,Какая дата изобретения фотографии?,7 января 1839 года
1713,Какая площадь бассейна реки Лена?,2 420 000 км²
1714,Какая площадь озера Онтарио?,18960км²
1715,Какого роста был Сталин?,160 см
1716,Какого роста был Ленин?,"1,65 м"
1717,Какого роста Путин?,170 см
1718,Какое количество серий в сериале Мажор?,40
1719,Какой по счету месяц апрель?,Четвёртый месяц
1720,Какой по счёту месяц июнь?,Шестой месяц
1721,Какой по счёту месяц сентябрь?,девятый
1722,Когда был учрежден государственный совет?,13 января 1810 г
1723,Когда был учрежден орден Славы?,от 8 ноября 1943
1724,Когда впервые был упомянут Берлин?,1244 год
1725,Когда впервые был упомянут Гомель?,Ипатьевской летописи под 1142 годом как владение черниговских князей
1726,Когда завершилась первая российская революция?,июнь 1907
1727,Когда изобретена бумага?,в 105 году н. э
1728,Когда изобретено радио?,1893-м
1729,Когда написаны Мертвые души?,1841 г
1730,Когда основан Лондон?,50 г. от Рождества Христова
1731,Когда прекратил существование РСФСР?,26 декабря 1991 года
1732,Когда прекратил существование Советский Союз?,8 декабря 1991 года
1733,Когда распустили КПСС?,1 августа 1991
1734,Когда распущено Учредительное собрание?,6 января 1918 года
1735,Когда состоялась премьера оперы Снегурочка Римского-Корсакова?,10 февраля 1882 года
1736,Когда упразднили НКВД?,1943
1737,Когда упразднили ФМС России?,в 2016 году
1738,Сколько расстояние от Москвы до Санкт-Петербурга?,"705,6 км"
1739,Сколько сезонов в сериале Пес?,6
1740,Когда возникло христианство?,в 1 веке н. э
1741,В каком году был создан Ютуб?,2005г
1742,В каком году изобретен компьютер?,1927 год
1743,В каком году родился Гитлер?,20 апреля 1889 г
1744,Какая дата изобретения телефона?,7 марта 1876 года Александром Беллом был получен патент на изобретение телефона
1745,Какая дата первого упоминания о городе Чердыни в летописных источниках?,1451 год
1746,Какая дата первой постановки Иван Сусанин?,27 ноября (9 декабря) 1836 года
1747,Какая дата первой постановки Ревизора?,4 мая (19 апреля) 1836 года
1748,Какая площадь бассейна реки Амазонка?,7 050 000 км²
1749,Какая площадь бассейна реки Волга?,1 360 000 км²
1750,Какая площадь бассейна реки Енисей?,2 700 000 км²
1751,Какая площадь бассейна реки Обь?,2 430 000 км²
1752,Какая площадь озера Спериллен?,37 км²
1753,Какая площадь озера Эри?,25 744 км²
1754,Какова высота пирамиды Хеопса?,139 м
1755,Какова площадь Австралии?,7 692 000 км²
1756,Какое количество серий в сериале Молодежка?,260
1757,Какое число серий в Барбоскины?,212
1758,Когда был основан Владивосток?,2 июля 1860 г
1759,Когда был создан Верховный тайный совет?,"8 февраля 1726 г., Россия"
1760,Когда был создан ВК?,2006 г
1761,Когда был создан Стим?,22 марта 2002 года
1762,Когда был учрежден орден Отечественной войны?,20 мая 1942 года
1763,Когда возникла Академия художеств в России?,6 ноября 1757 года
1764,Когда впервые был упомянут Витебск?,1021 г
1765,Когда выпущен первый айфон?,9 января 2007 года
1766,Когда написан Евгений Онегин?,5 октября 1831 г
1767,Когда написано Слово о полку Игореве?,1187 года
1768,Когда началась Великая Отечественная война?,22 июня 1941 г
1769,Когда началась Первая мировая?,28 июля 1914 г
1770,Когда начался вывод советских войск из Афганистана?,15 мая 1988 г
1771,Когда прекратил существование комсомол?,27—28 сентября 1991 года
1772,Когда распущен Варшавский договор?,1 июля 1991 года
1773,Когда родился первый президент Америки?,22 февраля 1732 года
1774,Когда родился Юрий Гагарин?,9 марта 1934 г
1775,Когда состоялась премьера оперы Руслан и Людмила?,9 декабря 1842
1776,Когда был выпущен фильм Девчата?,7 марта 1962
1777,Количество сезонов Ментовские войны?,11
1778,Количество сезонов Острые козырьки?,7
1779,Сколько сезонов в сериале Мажор?,4
1780,Сколько сезонов в сериале Полицейский с рублёвки?,5
1781,Какая площадь бассейна озера Имандра?,12300
1782,В каком году был создан Олимпийский комитет СССР?,1951 г
1783,В каком году была основана компания Philip Morris?,1847 г
1784,В каком году была создана Международная федерация гандбола?,11 июля 1946 г
1785,В каком году был открыт нейтрон?,1932
1786,В каком году был подписан Лиссабонский договор?,13 декабря 2007 года
1787,В каком году была учреждена Петербургская Городская дума?,В 1786
1788,В каком году было учреждено звание Героя Советского Союза?,1934
1789,В каком году завершилось восстание под руководством Емельяна Пугачёва?,"1774 года, а отдельные выступления — до середины 1775 года"
1790,В каком году закончилась Вторая мировая война?,2 сентября 1945 года
1791,В каком году образованы Вооруженные Силы СССР?,1946
1792,В каком году основаны ВДВ?,2 августа 1930 года
1793,В каком году построен Казанский собор?,1801-1811
1794,В каком году построена Берлинская стена?,13 августа 1961 г
1795,В каком году произошла битва на реке Калке?,31 мая 1223 г
1796,В каком году произошёл дворцовый переворот приведший к власти Екатерину Великую?,28 июня (9 июля) 1762 года
1797,В каком году выпущен фильм Ирония судьбы или с легким паром?,1975
1798,В каком году выпущен фильм Кавказская пленница?,1967
1799,В каком году указом Екатерины II был основан город Херсон?,1778
1800,В каком месяце закончилась 2 мировая война?,сентябрь
1801,В каком месяце закончилась ВОВ?,май
1802,В каком месяце закончилось Пугачевское восстание?,январь
1803,В каком месяце открыли мост в Крым?,"Железнодорожный мост открывается в два этапа: 25 декабря 2019 года для пассажирских поездов, а 1 июля 2020 года — для грузовых"
1804,В каком месяце произошел взрыв в Чернобыле?,апрель
1805,В каком месяце произошла Октябрьская революция?,"Октябрь, ноябрь"
1806,В каком месяце произошло восстание декабристов?,декабрь
1807,В каком месяце снята блокада Ленинграда?,18 января 1943 года
1808,Когда был выпущен айфон 6?,9 сентября 2014
1809,Когда был выпущен айфон 7?,16 сентября 2016 года
1810,Когда была введена в действие первая конституция СССР?,31 января 1924
1811,Когда был основан Аварский каганат?,562
1812,Когда завершилась вторая оборона Севастополя?,4 июля 1942 года
1813,Когда завершилась Ливонская война?,1583
1814,Когда была введена в действие первая в мире атомная электростанция?,26 июня 1954
1815,Когда крещена Русь?,988 году
1816,Когда образовалось Королевство Испания?,1479
1817,Когда создан Петропавловский собор?,1 мая 1712
1818,Когда открыта Периодическая система Менделеева?,17 февраля (1 марта) 1869 г
1819,Когда построены Лужники?,31 июля 1956 года
1820,Когда прекратилась поддержка Windows XP?,"30 августа 2005, 14 апреля 2009 года, 8 апреля 2014 года"
1821,Когда произошла авария на Чернобыльской АЭС?,26 апреля 1986 г
1822,Когда родился Ярослав Мудрый?,1054 г. Родился Великий князь Ярослав Мудрый (978 – 1054 г.)
1823,Когда убит Александр 2?,13 марта 1881 г
1824,Когда умерла Ирина Цывина?,18 апреля 2019 г
1825,Когда учреждена медаль За отвагу?,17 октября 1938 г
1826,Какая протяжённость Китайской стены?,21 196 180 м
1827,Какова длина экватора?,40 075 километров
1828,Какова скорость света?,"299 792 458 м/с, или 1 079 252 848,8 км/ч"
1829,Какой рост у Шакиры?,"1,57 м"
1830,Сколько стран участвовало в олимпиаде 1980 в Москве?,80 стран
1831,Сколько стран участвовало в олимпиаде 2014?,88
1832,В каком году был введен в эксплуатацию московский метрополитен?,1935
1833,В каком году был выпущен первый русский автомобиль?,1896
1834,В каком году был выпущен фильм Терминатор?,1984
1835,В каком году был заключен Кючук-Кайнарджийский мирный договор?,10 (21) июля 1774 г
1836,В каком году был заключен Тильзитский мир?,1807
1837,В каком году был заключен Ништадский мир?,1721
1838,В каком году был образован город Томск?,1604 г
1839,В каком году был образован Европейский Союз?,1993
1840,В каком году был образован Краснодарский край?,13 сентября 1937 года
1841,В каком году был образован Североатлантический Союз НАТО?,1949
1842,В каком году был образован Союз борьбы за освобождение рабочего класса?,1895 г
1843,В каком году был основан Московский художественный театр?,1898 г
1844,В каком году был основан Переславль-Залесский?,1152 г
1845,В каком году был основан Петербург?,1703
1846,В каком году был основан Суздаль?,1024
1847,В каком году был открыт пенициллин?,1928
1848,В каком году был открыт первый университет в Москве?,1755
1849,В каком году был открыт фосфор?,1669 г
1850,В каком году был открыт Южный полюс?,В декабре 1911
1851,В каком году был подписан Версальский мирный договор?,1919
1852,В каком году был создан интернет?,1991
1853,В каком году был учрежден Центральный банк России?,1990
1854,В каком году был учрежден орден Святого Георгия?,1769
1855,В каком году был учрежден пост президента СССР?,1990
1856,В каком году была введена в эксплуатацию первая промышленная СУБД система IMS фирмы IBM?,В 1968 году
1857,В каком году была основана компания Kenwood?,1946
1858,В каком году были образованы Соединённые Штаты Америки?,1776 года
1859,В каком году были основаны Набережные Челны?,в 1626 году
1860,В каком году были основаны Химки?,1939
1861,В каком году был убит Аскольд?,882
1862,В каком году был учрежден орден Кутузова?,1942
1863,В каком году было заключено Андрусовское перемирие с Польшей?,1667
1864,В каком году было заключено Ям Запольское перемирие?,5 (15) января 1582 год
1865,В каком году было начато строительство космодрома Байконур?,20 июля 1955
1866,В каком году было образовано государство Израиль?,14 мая 1948 г
1867,В каком году было образовано Содружество Независимых Государств?,1991
1868,В каком году было образовано ФГУП Почта России?,2002 г
1869,В каком году было открыто первое в России высшее учебное заведение Славяно-греко-латинская академия?,В конце 1687 г
1870,В каком году было открыто явление электромагнитной индукции?,1831
1871,В каком году было подписано Шенгенское соглашение?,14 июня 1985 года
1872,Когда была создана ВТО?,1995
1873,В каком году вышел айфон 10?,2017
1874,В каком году вышел айфон 5?,2012
1875,В каком году вышел Наруто?,2002
1876,В каком году вышел фильм Бригада?,2002
1877,В каком году завершилась Великая Отечественная война?,7 мая 1945 года
1878,В каком году завершилась Великая французская революция?,9 ноября 1799 года
1879,В каком году завершилась Первая мировая?,11 ноября 1918
1880,В каком году завершилось объединение Германии?,3 октября 1990 года
1881,В каком году заключен Варшавский договор?,14 мая 1955 года
1882,В каком году заключен Столбовский мир?,9 марта 1617 года
1883,В каком году закончился Гравити Фолз?,2016
1884,В каком году закончился сериал Папины дочки?,2013
1885,В каком году заложена Константиногорская крепость?,1780
1886,В каком году заложена Петропавловская крепость?,в 1703 году
1887,В каком году заложена Тюмень?,1586
1888,В каком году изобрели компьютерную мышь?,1968
1889,В каком году изобретен баскетбол?,в 1891 году
1890,В каком году изобретен кубик Рубика?,1974
1891,В каком году изобретено лего?,1932
1892,В каком году изобретены почтовые марки?,1840
1893,В каком году образовалось Джунгарское ханство?,В 1635 году
1894,В каком году образовалось НАТО?,1949
1895,В каком году образовался ЕС?,1 ноября 1993 года
1896,В каком году образовался комсомол?,29 октября 1918 г
1897,В каком году образовался Пенсионный Фонд Российской Федерации?,22 декабря 1990 г
1898,В каком году образовался Тройственный союз?,1882
1899,В каком году образован УОБАО?,1937
1900,В каком году образована Брянская область?,1944
1901,В каком году образована Международная федерация футбола ФИФА?,1904
1902,В каком году образована Новосибирская область?,28 сентября 1937 года
1903,В каком году окончилась смута?,1613
1904,В каком году основан Великий Новгород?,859 год
1905,В каком году основана Казань?,1005 г
1906,В каком году основана компания Denso?,16 декабря 1949 г
1907,В каком году основана компания Goodyear?,29 августа 1898 г
1908,В каком году основаны Ессентуки?,1825
1909,В каком году открыт Институт физической культуры в Москве?,29 мая 1918 г
1910,В каком году открыт мемориальный ансамбль Могила Неизвестного Солдата?,1967
1911,В каком году открыт Периодический закон химических элементов?,1869
1912,В каком году открыта Америка Колумбом?,1492
1913,В каком году открыта таблица Менделеева?,1869
1914,В каком году открыто московское метро?,15 мая 1935 года
1915,В каком году подписано соглашение о создании СНГ?,1991
1916,В каком году построен Ладожский вокзал?,в 2003 году
1917,В каком году построен Эрмитаж?,1764
1918,В каком году построена первая железная дорога в России?,1837
1919,В каком году построена Статуя Свободы?,1875
1920,В каком году построена Эйфелева башня?,28 января 1887 г
1921,В каком году построено Ласточкино гнездо?,в 1912 году
1922,В каком году построено метро в Санкт-Петербурге?,15 ноября 1955 года
1923,В каком году прекратилась династия Рюриковичей?,1598
1924,В каком году произошел Аншлюс Австрии?,12 марта 1938 г
1925,В каком году произошел Соляной бунт?,1 июня 1648 г
1926,В каком году произошла Грюнвальдская битва?,1410
1927,В каком году произошла Октябрьская революция?,7 ноября 1917 г
1928,В каком году произошла Полтавская битва?,1709
1929,В каком году произошло народное восстание в Венгрии?,1956 г
1930,В каком году произошёл Медный бунт?,1662
1931,В каком году родилась Александра Пахмутова?,1929
1932,В каком году родилась Билли Айлиш?,2001 г
1933,В каком году родилась Валентина Терешкова?,6 марта 1937 г
1934,В каком году родилась Кристина Орбакайте?,25 мая 1971 г
1935,В каком году родилась Надежда Бабкина?,1950 г
1936,В каком году родился Аркадий Аверченко?,1881
1937,В каком году родился Лермонтов?,1814
1938,В каком году вышел фильм Афоня?,1975
1939,В каком году вышел фильм Иван Васильевич меняет профессию?,1973
1940,В каком году вышел фильм Служебный роман?,1977
1941,В каком году создан Инстаграм?,6 октября 2010 г
1942,В каком году убили Игоря Талькова?,6 октября 1991 г
1943,В каком году убили Михаила Круга?,2002
1944,В каком году убили Пабло Эскобара?,2 декабря 1993 г
1945,В каком году убиты Романовы?,1918
1946,В каком году указ Синода провозгласил принцип веротерпимости?,1773
1947,В каком году указом Петра 1 была создана Академия наук?,1724
1948,В каком году умер Вольф Мессинг?,8 ноября 1974 г
1949,В каком году умер Высоцкий?,1980
1950,В каком году умер Майкл Джексон?,2009
1951,В каком году умер Муслим Магомаев?,2008 г
1952,В каком году умер Пушкин?,1837 г
1953,В каком году умер Сталин?,1953
1954,В каком году умерла Анна Герман?,25 августа 1982
1955,В каком году умерла Жанна Фриске?,15 июня 2015 г
1956,В каком году умерла Любовь Полищук?,2006 г
1957,В каком году умерла Людмила Гурченко?,2011 г
1958,В каком году умерла Мерлин Монро?,1962
1959,В каком году умерла принцесса Диана?,31 августа 1997 г
1960,В каком году учрежден Дворянский банк?,1885
1961,В каком году учрежден Императорский Казанский университет?,5 ноября 1804 г
1962,В каком году учрежден орден Красной Звезды?,1930
1963,В каком году учреждена прокуратура в России?,1722
1964,В каком году учреждено в Израиле звание Праведник народов мира?,1953
1965,В каком году учреждено Русское географическое общество?,6 (18) августа 1845 года
1966,В каком году была заложена чернобыльская АЭС?,1972
1967,Когда был выпущен Clash Royale?,2 марта 2016 года
1968,Когда был выпущен первый ipad?,2010 год
1969,Когда был заключен Брестский мир?,3 марта 1918 г
1970,Когда был образован Амгинский улус?,9 января 1930 г
1971,Когда был основан Берлин?,1237 г
1972,Когда был открыт электрон?,В 1897 году
1973,Когда был построен Биг Бен?,31 мая 1859 г
1974,Когда был учрежден орден Александра Невского?,21 мая (1 июня) 1725 г
1975,Когда был учрежден орден Октябрьской революции?,31 октября 1967 года
1976,Когда был учрежден орден Победы?,8 ноября 1943 года
1977,Когда была введена в строй Останкинская телебашня?,5 ноября 1967 года
1978,Когда была заложена Семипалатинская крепость?,В 1718 году
1979,Когда была убита Старовойтова?,20 ноября 1998 года
1980,Когда была убита царская семья?,в ночь с 16 на 17 июля 1918 года
1981,Когда были образованы Вооруженные Силы Российской Федерации?,7 мая 1992
1982,Когда был основан Токмак?,1825
1983,Когда было заложено московское метро?,15 мая 1935
1984,Когда было построено главное здание МГУ?,1949—1953 гг
1985,Когда было построено здание Кунсткамеры?,1714 г
1986,Когда завершилась Берлинская операция?,2 мая 1945 года
1987,Когда завершилась битва за Ленинград?,с 10 июля 1941 года по 9 августа 1944 года
1988,Когда завершилась Кавказская война?,1864
1989,Когда закончились Средние века?,1500 год
1990,Когда заложена крепость Владикавказ?,25 апреля 1784 года
1991,Когда образовалась Российская Империя?,1721 г
1992,Когда образовалась Чехословакия?,28 октября 1918 г. Картинки по запросу когда образовалась чехословакия
1993,Когда образовалось Российское государство?,1918 г
1994,Когда образовался Пакистан?,14 августа 1947 года
1995,Когда образовался Союз Советских Социалистических Республик?,30 декабря 1922
1996,Когда образовался Таможенный союз?,1 января 2010 г
1997,Когда образована Еврейская автономная область?,7 мая 1934 года
1998,Когда образована Красная армия?,28 января 1918
1999,Когда образована Российская Федерация?,25 декабря 1991 года
2000,Когда образована РСФСР?,1917 г
2001,Когда образована ФСБ?,12 апреля 1995 г
2002,Когда основаны Люберцы?,1623
2003,Когда основаны Чебоксары?,1469
2004,Когда подписан договор в Беловежской Пуще?,8 декабря 1991 года
2005,Когда подписан договор о капитуляции Германии?,8 мая 1945 года
2006,Когда подписан договор о ненападении между СССР и Германией?,23 августа 1939 года
2007,Когда подписан договор об образовании СССР?,29 декабря 1922 года
2008,Когда произошло разделение христианства на католицизм и православие?,1054 год
2009,Когда произошёл конфликт на озере Хасан?,29 июля 1938 года
2010,Когда родилась Анастасия Заворотнюк?,3 апреля 1971 г
2011,Когда родилась Лидия Скобликова?,8 марта 1939 г
2012,Когда родилась Марьяна Ро?,7 октября 1999 г
2013,Когда родилась Ольга Бузова?,20 января 1986 г
2014,Когда родилась София Ротару?,7 августа 1947 г
2015,Когда родилась Юлия Началова?,31 января 1981 г
2016,Когда родился Гоголь?,1 апреля 1809 г
2017,Когда убит Троцкий?,21 августа 1940 года
2018,Когда умер Стив Джобс?,5 октября 2011 г
2019,Когда умерла Галина Волчек?,26 декабря 2019 г
2020,Когда умерла Уитни Хьюстон?,11 февраля 2012 г
2021,Когда умерла Элина Быстрицкая?,26 апреля 2019
2022,Когда учреждена должность президента РФ?,в 1991 году
2023,Когда учреждена медаль За оборону Ленинграда?,22 декабря 1942 года
2024,Когда учреждена медаль За оборону Москвы?,1.05.1944
2025,Когда учреждена медаль За победу над Германией?,9 мая 1945
2026,Когда учреждено звание Героя Российской Федерации?,20 марта 1992 года
2027,Когда учреждены олимпийские игры?,1896
2028,Какая высота у Эйфелевой башни?,300 м
2029,Какая плотность у глицерина?,"1,26 г/см³"
2030,Какая химическая формула у медного купороса?,CuSO4
2031,Какова плотность керосина?,"819 кг/м3, 819 г/л"
2032,Какова температура плавления поваренной соли?,801°C
2033,Какова химическая формула кварца?,SiO2
2034,Какой атомный номер водорода?,1
2035,Какой атомный номер у алюминия?,13
2036,Какой атомный номер у кислорода?,8
2037,Какой атомный номер у платины?,78
2038,Какой атомный номер элемента кальций?,20
2039,Какой рост у Фрэнсиса Нганну?,1.93 м
2040,При какой температуре кипит вода?,100°C
2041,При какой температуре плавится алюминий?,"660,3°C"
2042,При какой температуре плавится медь?,1 085°C
2043,При какой температуре плавится свинец?,"327,5°C"
2044,Сколько весил Титаник?,52 310 тонн
2045,Сколько команд участвовало в ЧМ по футболу 2018?,32
2046,В каком году родился Петр 1?,В 1672
2047,В каком году умер Фредди Меркьюри?,24 ноября 1991
2048,В каком году умерла Юлия Началова?,2019 г
2049,В каком месяце завершилось первое в истории кругосветное плавание?,сентябрь
2050,В каком году было образовано движение Демократическая Россия?,21 октября 1990 г
2051,В каком месяце убили Цезаря?,в марте
2052,Когда был образован Тюркский каганат?,В 552 г
2053,В каком году снят фильм Любовь и голуби?,1985
2054,В каком месяце подписан пакт о ненападении между СССР и Германией?,23 августа 1939 года
2055,Когда был образован Совет экономической взаимопомощи?,5 января 1949 г
2056,Как долго длился полет Терешковой?,4250
2057,В каком году образовались Арабские Эмираты?,1971
2058,Какая твердость у золота?,3
2059,Какая твёрдость у гранита?,6
2060,Какая температура замерзания воды?,0
2061,Какая температура кипения спирта?,79
2062,Какая теплопроводность у воздуха?,0.026
2063,Какова теплоемкость воды?,9.069
